DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Cerebrospinal fluid AB1-42 levels	beta-amyloid 1-42 measurement|| cerebrospinal fluid biomarker measurement	GCST003072	beta-amyloid 1-42 measurement|| cerebrospinal fluid biomarker measurement	
Cerebrospinal fluid levels of Alzheimer's disease-related proteins	matrix metalloproteinase measurement|| angiotensin-converting enzyme measurement|| Alzheimer's disease|| CCL4 measurement|| interleukin-6 measurement|| Alzheimer's disease biomarker measurement|| CCL2 measurement	GCST002665	matrix metalloproteinase measurement|| angiotensin-converting enzyme measurement|| Alzheimer's disease|| CCL4 measurement|| interleukin-6 measurement|| Alzheimer's disease biomarker measurement|| CCL2 measurement	
Cerebrospinal fluid α-synuclein levels	cerebrospinal fluid biomarker measurement|| alpha synuclein measurement	GCST006279	cerebrospinal fluid biomarker measurement|| alpha synuclein measurement	
Cerebrospinal P-tau181p levels	p-tau measurement|| cerebrospinal fluid biomarker measurement	GCST003071	p-tau measurement|| cerebrospinal fluid biomarker measurement	
Cerebrospinal T-tau levels	cerebrospinal fluid biomarker measurement|| t-tau measurement	GCST003070	cerebrospinal fluid biomarker measurement|| t-tau measurement	
Cerivastatin-induced rhabdomyolysis	response to statin|| rhabdomyolysis	GCST001002	response to statin|| rhabdomyolysis	
Childhood onset asthma (traffic air pollution exposure interaction)	childhood onset asthma|| traffic air pollution measurement	GCST003975	childhood onset asthma|| traffic air pollution measurement	
Childhood onset systemic lupus erythematosus	age at onset|| systemic lupus erythematosus	GCST006260	age at onset|| systemic lupus erythematosus	
Cholesterol and Triglycerides	triglyceride measurement|| high density lipoprotein cholesterol measurement	GCST001704	triglyceride measurement|| high density lipoprotein cholesterol measurement	
Chronic alcoholic pancreatitis or alcohol-related cirrhosis	alcoholic liver cirrhosis|| alcoholic pancreatitis	GCST004755	alcoholic liver cirrhosis|| alcoholic pancreatitis	
Chronic bronchitis and chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| chronic bronchitis	GCST002625	chronic obstructive pulmonary disease|| chronic bronchitis	
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	ankylosing spondylitis|| psoriasis|| ulcerative colitis|| Crohn's disease|| sclerosing cholangitis	GCST005537	ankylosing spondylitis|| psoriasis|| ulcerative colitis|| Crohn's disease|| sclerosing cholangitis	
Chronic kidney disease	cystatin C measurement|| chronic kidney disease|| serum creatinine measurement	GCST000649	cystatin C measurement|| chronic kidney disease|| serum creatinine measurement	
Chronic kidney disease and serum creatinine levels	chronic kidney disease|| serum creatinine measurement	GCST000742	chronic kidney disease|| serum creatinine measurement	
Chronic obstructive pulmonary disease-related biomarkers	tumor necrosis factor-alpha measurement|| interleukin-6 measurement|| chronic obstructive pulmonary disease|| interleukin-8 measurement|| fibrinogen measurement|| C-reactive protein measurement|| CC16 measurement|| surfactant protein D measurement	GCST001737	tumor necrosis factor-alpha measurement|| interleukin-6 measurement|| chronic obstructive pulmonary disease|| interleukin-8 measurement|| fibrinogen measurement|| C-reactive protein measurement|| CC16 measurement|| surfactant protein D measurement	
Chronic venous disease	chronic venous insufficiency|| Varicose veins	GCST004343	chronic venous insufficiency|| Varicose veins	
Chylomicron and largest VLDL particle concentration	chylomicron measurement|| very low density lipoprotein cholesterol measurement	GCST005510	chylomicron measurement|| very low density lipoprotein cholesterol measurement	
Cingulate cortical amyloid beta load	amyloid-beta measurement|| cingulate cortex measurement	GCST003113	amyloid-beta measurement|| cingulate cortex measurement	
Circulating chromogranin peptide levels	CHGB cleavage product measurement|| CHGA cleavage product measurement	GCST004038	CHGB cleavage product measurement|| CHGA cleavage product measurement	
Cisplatin-induced ototoxicity	ototoxicity|| response to cisplatin	GCST003898	ototoxicity|| response to cisplatin	
Cleft lip with or without cleft palate	cleft palate|| cleft lip	GCST004050	cleft palate|| cleft lip	
Cleft lip with or without cleft palate (maternal periconceptional alcohol intake interaction)	cleft lip|| alcohol exposure measurement	GCST005653	cleft lip|| alcohol exposure measurement	
Cleft lip with or without cleft palate (maternal periconceptional cigarette smoking interaction)	tobacco smoke exposure measurement|| cleft lip	GCST005654	tobacco smoke exposure measurement|| cleft lip	
Cleft lip with or without cleft palate (maternal periconceptional vitamin use interaction)	vitamin supplement exposure measurement|| cleft lip	GCST005652	vitamin supplement exposure measurement|| cleft lip	
Cleft plate (environmental tobacco smoke interaction)	cleft palate|| environmental tobacco smoke exposure measurement	GCST002348	cleft palate|| environmental tobacco smoke exposure measurement	
Clinical laboratory measurements	alkaline phosphatase measurement|| calcium measurement|| hemoglobin measurement|| clinical laboratory measurement|| mean corpuscular hemoglobin|| glucose measurement|| erythrocyte measurement|| bilirubin measurement	GCST003540	alkaline phosphatase measurement|| calcium measurement|| hemoglobin measurement|| clinical laboratory measurement|| mean corpuscular hemoglobin|| glucose measurement|| erythrocyte measurement|| bilirubin measurement	
Clozapine-induced agranulocytosis	drug-induced agranulocytosis|| response to clozapine	GCST002595	drug-induced agranulocytosis|| response to clozapine	
Clozapine-induced cytotoxicity	cytotoxicity measurement|| response to clozapine	GCST002777	cytotoxicity measurement|| response to clozapine	
Cluster headache	smoking status measurement|| cluster headache	GCST003900	smoking status measurement|| cluster headache	
Coffee consumption	coffee consumption|| cups of coffee per day measurement	GCST003621	coffee consumption|| cups of coffee per day measurement	
Coffee consumption (cups per day)	coffee consumption|| cups of coffee per day measurement	GCST002650	coffee consumption|| cups of coffee per day measurement	
Cognitive ability (MTAG)	intelligence|| self reported educational attainment	GCST005141	intelligence|| self reported educational attainment	
Cognitive impairment (brain beta-amyloid deposition interaction)	cognitive impairment|| cerebral amyloid deposition measurement	GCST003399	cognitive impairment|| cerebral amyloid deposition measurement	
Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe mucosal involvement	Stevens-Johnson syndrome|| toxic epidermal necrolysis|| response to cold medicine	GCST002779	Stevens-Johnson syndrome|| toxic epidermal necrolysis|| response to cold medicine	
Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe ocular complications	Stevens-Johnson syndrome|| toxic epidermal necrolysis|| response to cold medicine	GCST004072	Stevens-Johnson syndrome|| toxic epidermal necrolysis|| response to cold medicine	
Colorectal cancer (alcohol consumption interaction)	colorectal cancer|| alcohol consumption measurement	GCST003873	colorectal cancer|| alcohol consumption measurement	
Colorectal cancer (aspirin and/or NSAID use interaction)	drug use measurement|| aspirin use measurement|| NSAID use measurement|| colorectal cancer	GCST002816	drug use measurement|| aspirin use measurement|| NSAID use measurement|| colorectal cancer	
Colorectal cancer (calcium intake interaction)	calcium intake measurement|| colorectal cancer	GCST002596	calcium intake measurement|| colorectal cancer	
Colorectal cancer (diet interaction)	colorectal cancer|| diet measurement	GCST002415	colorectal cancer|| diet measurement	
Colorectal cancer (environment interaction)	smoking status measurement|| colorectal cancer|| alcohol consumption measurement|| overweight body mass index status	GCST001731	smoking status measurement|| colorectal cancer|| alcohol consumption measurement|| overweight body mass index status	
Colorectal cancer (menopausal hormone therapy interaction)	colorectal cancer|| hormone replacement therapy	GCST003385	colorectal cancer|| hormone replacement therapy	
Colorectal cancer (oestrogen hormone therapy interaction)	colorectal cancer|| hormone replacement therapy	GCST003387	colorectal cancer|| hormone replacement therapy	
Colorectal cancer (oestrogen-progestogen hormone therapy interaction)	colorectal cancer|| hormone replacement therapy	GCST003386	colorectal cancer|| hormone replacement therapy	
Colorectal cancer (smoking interaction)	smoking status measurement|| colorectal cancer	GCST003874	smoking status measurement|| colorectal cancer	
Colorectal or endometrial cancer	colorectal cancer|| endometrial neoplasm	GCST003209	colorectal cancer|| endometrial neoplasm	
Colorectal or endometrial cancer	colorectal cancer|| endometrial neoplasm	GCST003208	colorectal cancer|| endometrial neoplasm	
Common traits (Other)	sensory perception of taste|| functional laterality|| hair morphology|| circadian rhythm|| personality|| braces|| sensory perception of smell|| Attached earlobe|| Astigmatism|| Sneeze	GCST000706	sensory perception of taste|| functional laterality|| hair morphology|| circadian rhythm|| personality|| braces|| sensory perception of smell|| Attached earlobe|| Astigmatism|| Sneeze	
Complement C3 and C4 levels	complement C4 measurement|| complement C3 measurement	GCST001679	complement C4 measurement|| complement C3 measurement	
Comprehensive strength and appendicular lean mass	comprehensive strength index|| muscle measurement	GCST001656	comprehensive strength index|| muscle measurement	
Conduct disorder (maternal expressed emotions interaction)	parental emotion expression measurmement|| conduct disorder	GCST000245	parental emotion expression measurmement|| conduct disorder	
Congenital left-sided heart lesions (maternal effect)	congenital left-sided heart lesions|| parental genotype effect measurement	GCST002574	congenital left-sided heart lesions|| parental genotype effect measurement	
